entity	property	query_fwd	query_rev	answer_fwd	answer_rev	foil1	foil2	foil3
bee	builds	a <subj> makes a <answer>	<answer> is made by <subj>	hive	<subj>	web	hole	nests
bee	can	<subj> can <answer>	one animal that can <answer> is a <subj>	fly	<subj>	run	gallop	swim
bird	can	<subj> can <answer>	one animal that can <answer> is a <subj>	fly	<subj>	run	gallop	swim
fish	can	<subj> can <answer>	one animal that can <answer> is a <subj>	swim	<subj>	run	gallop	fly
pig	covering	<subj> have <answer>	one animal that has <answer> is <subj>	skin	<subj>	scales	feathers	
cat	food	food for a <subj> must be <answer>	<answer> is the appropriate food for a <subj>	meat	<subj>	grain	grass	
cow	food	food for a <subj> must be <answer>	<answer> is the appropriate food for a <subj>	grain	<subj>	meat	insects	
bee	genus	the animal group to which <subj> belong is commonly called <answer>	one type of <answer> is a <subj>	insects	<subj>	mammals	reptiles	aves
bird	genus	the animal group to which <subj> belong is commonly called <answer>	one type of <answer> is a <subj>	aves	<subj>	mammals	reptiles	insects
cat	genus	the animal group to which <subj> belong is commonly called <answer>	one type of <answer> is a <subj>	mammals	<subj>	aves	reptiles	insects
cow	genus	the animal group to which <subj> belong is commonly called <answer>	one type of <answer> is a <subj>	mammals	<subj>	aves	reptiles	insects
dog	genus	the animal group to which <subj> belong is commonly called <answer>	one type of <answer> is a <subj>	mammals	<subj>	aves	reptiles	insects
pig	genus	the animal group to which <subj> belong is commonly called <answer>	one type of <answer> is a <subj>	mammals	<subj>	insects	reptiles	aves
bird	give_birth	a baby <subj> is <answer>	one animal whose offspring is <answer> is a <subj>	hatched from an egg	<subj>	born alone	born in a litter	
cat	give_birth	a baby <subj> is <answer>	one animal whose offspring is <answer> is a <subj>	born in a litter	<subj>	hatched from an egg	born alone	
cow	give_birth	a baby <subj> is <answer>	one animal whose offspring is <answer> is a <subj>	born alone	<subj>	hatched from an egg	born in a litter	
dog	give_birth	a baby <subj> is <answer>	one animal whose offspring is <answer> is a <subj>	born in a litter	<subj>	hatched from an egg	born alone	
fish	give_birth	a baby <subj> is <answer>	one animal whose offspring is <answer> is a <subj>	hatched from an egg	<subj>	born alone	born in a litter	
snake	give_birth	a baby <subj> is <answer>	one animal whose offspring is <answer> is a <subj>	hatched from an egg	<subj>	born alone	born in a litter	
pig	give_birth	a baby <subj> is <answer>	one animal whose offspring is <answer> is a <subj>	born in a litter	<subj>	hatched from an egg	born alone	
bee	has	<subj> have <answer>	<answer> are found on <subj>	wings	<subj>	fins	four legs	
bird	has	<subj> have <answer>	<answer> are found on <subj>	wings	<subj>	fins	four legs	
bird	has	<subj> have <answer>	<answer> are found on <subj>	feathers	<subj>	scales	fur	
cat	has	a <subj> has <answer>	an animal with <answer> is a <subj>	claws	<subj>	flippers	fins	wings
cat	has	<subj> have <answer>	<answer> are found on <subj>	fur	<subj>	scales	feathers	
cow	has	<subj> have <answer>	<answer> are found on <subj>	hooves	<subj>	wings	fins	tentacles
cow	has	<subj> have <answer>	<answer> are found on <subj>	fur	<subj>	scales	feathers	
dog	has	<subj> have <answer>	<answer> are found on <subj>	fur	<subj>	scales	feathers	
fish	has	<subj> have <answer>	one animal that has <answer> is <subj>	scales	<subj>	fur	feathers	
fish	has	<subj> have <answer>	<answer> are found on <subj>	fins	<subj>	wings	four legs	tentacles
snake	has	<subj> have <answer>	one animal that has <answer> is <subj>	scales	<subj>	fur	feathers	
pig	has	<subj> have <answer>	<answer> are found on <subj>	hooves	<subj>	wings	fins	tentacles
cat	is_domesticated	most <subj> are <answer>	one animal that is typically <answer> is a <subj>	domesticated	<subj>	wild		
cow	is_domesticated	most <subj> are <answer>	one animal that is typically <answer> is a <subj>	domesticated	<subj>	wild		
dog	is_domesticated	most <subj> are <answer>	one animal that is typically <answer> is a <subj>	domesticated	<subj>	wild		
bird	is_wild	most <subj> are <answer>	one animal that is typically <answer> is a <subj>	wild	<subj>	domesticated		
fish	is_wild	most <subj> are <answer>	one animal that is typically <answer> is a <subj>	wild	<subj>	domesticated		
snake	is_wild	most <subj> are <answer>	one animal that is typically <answer> is a <subj>	wild	<subj>	domesticated		
bee	leg_count	<subj> are animals that have <answer>	<answer> can be found on <subj>	six legs	<subj>	two legs	no legs	four legs
cat	leg_count	<subj> are animals that have <answer>	<answer> can be found on <subj>	four legs	<subj>	two legs	six legs	eight legs
cow	leg_count	<subj> are animals that have <answer>	<answer> can be found on <subj>	four legs	<subj>	two legs	six legs	eight legs
dog	leg_count	<subj> are animals that have <answer>	<answer> can be found on <subj>	four legs	<subj>	two legs	six legs	no legs
fish	leg_count	<subj> are animals that have <answer>	<answer> can be found on <subj>	no legs	<subj>	two legs	six legs	four legs
snake	leg_count	<subj> are animals that have <answer>	<answer> can be found on <subj>	no legs	<subj>	two legs	six legs	four legs
pig	leg_count	<subj> are animals that have <answer>	<answer> can be found on <subj>	four legs	<subj>	two legs	six legs	eight legs
cat	like_to_interact	<subj> are an animal people <answer>	one animal people <answer> is a <subj>	keep as pets	<subj>	raise for slaughter	avoid	catch and eat
cow	like_to_interact	<subj> are an animal people <answer>	one animal people <answer> is a <subj>	keep for their milk	<subj>	keep as pets	avoid	catch and eat
dog	like_to_interact	<subj> are an animal people <answer>	one animal people <answer> is a <subj>	keep as pets	<subj>	keep for meat	avoid	keep for their milk
fish	like_to_interact	<subj> are an animal people <answer>	one animal people <answer> is a <subj>	catch and eat	<subj>	keep for meat	avoid	keep for their milk
